file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv,index1
0000000229.bmp,39,0,1,0,0,0,1,0,1
0000000230.bmp,39,0,2,0,0,0,1,0,1
0000000231.bmp,39,0,3,0,0,0,1,0,1
0000000232.bmp,39,0,4,0,0,0,1,0,1
0000000233.bmp,39,0,5,0,0,0,1,0,1
0000000234.bmp,39,0,6,0,0,0,1,0,1
0000000235.bmp,40,0,1,0,0,0,1,0,1
0000000236.bmp,40,0,2,0,0,0,1,0,1
0000000237.bmp,40,0,3,0,0,0,1,0,1
0000000238.bmp,40,0,4,0,0,0,1,0,1
0000000239.bmp,40,0,5,0,0,0,1,0,1
0000000240.bmp,40,0,6,0,0,0,1,0,1
0000000241.bmp,41,0,1,0,0,0,1,0,1
0000000242.bmp,41,0,2,0,0,0,1,0,1
0000000243.bmp,41,0,3,0,0,0,1,0,1
0000000244.bmp,41,0,4,0,0,0,1,0,1
0000000245.bmp,41,0,5,0,0,0,1,0,1
0000000246.bmp,41,0,6,0,0,0,1,0,1
0000000247.bmp,42,0,1,0,0,0,1,0,1
0000000248.bmp,42,0,2,0,0,0,1,0,1
0000000249.bmp,42,0,3,0,0,0,1,0,1
0000000250.bmp,42,0,4,0,0,0,1,0,1
0000000251.bmp,42,0,5,0,0,0,1,0,1
0000000252.bmp,42,0,6,0,0,0,1,0,1
0000000253.bmp,43,0,1,0,0,0,1,0,1
0000000254.bmp,43,0,2,0,0,0,1,0,1
0000000255.bmp,43,0,3,0,0,0,1,0,1
0000000256.bmp,43,0,4,0,0,0,1,0,1
0000000257.bmp,43,0,5,0,0,0,1,0,1
0000000258.bmp,43,0,6,0,0,0,1,0,1
0000000259.bmp,44,0,1,0,0,0,1,0,1
0000000260.bmp,44,0,2,0,0,0,1,0,1
0000000261.bmp,44,0,3,0,0,0,1,0,1
0000000262.bmp,44,0,4,0,0,0,1,0,1
0000000263.bmp,44,0,5,0,0,0,1,0,1
0000000264.bmp,44,0,6,0,0,0,1,0,1
0000000265.bmp,45,0,1,0,0,0,1,0,1
0000000266.bmp,45,0,2,0,0,0,1,0,1
0000000267.bmp,45,0,3,0,0,0,1,0,1
0000000268.bmp,45,0,4,0,0,0,1,0,1
0000000269.bmp,45,0,5,0,0,0,1,0,1
0000000270.bmp,45,0,6,0,0,0,1,0,1
0000000271.bmp,46,0,1,0,0,0,1,0,1
0000000272.bmp,46,0,2,0,0,0,1,0,1
0000000273.bmp,46,0,3,0,0,0,1,0,1
0000000274.bmp,46,0,4,0,0,0,1,0,1
0000000275.bmp,46,0,5,0,0,0,1,0,1
0000000276.bmp,46,0,6,0,0,0,1,0,1
0000000277.bmp,47,0,1,0,0,0,1,0,1
0000000278.bmp,47,0,2,0,0,0,1,0,1
0000000279.bmp,47,0,3,0,0,0,1,0,1
0000000280.bmp,47,0,4,0,0,0,1,0,1
0000000281.bmp,47,0,5,0,0,0,1,0,1
0000000282.bmp,47,0,6,0,0,0,1,0,1
0000000283.bmp,48,0,1,0,0,0,1,0,1
0000000284.bmp,48,0,2,0,0,0,1,0,1
0000000285.bmp,48,0,3,0,0,0,1,0,1
0000000286.bmp,48,0,4,0,0,0,1,0,1
0000000287.bmp,48,0,5,0,0,0,1,0,1
0000000288.bmp,48,0,6,0,0,0,1,0,1
0000000289.bmp,49,0,1,0,0,0,1,0,1
0000000290.bmp,49,0,2,0,0,0,1,0,1
0000000291.bmp,49,0,3,0,0,0,1,0,1
0000000292.bmp,49,0,4,0,0,0,1,0,1
0000000293.bmp,49,0,5,0,0,0,1,0,1
0000000294.bmp,49,0,6,0,0,0,1,0,1
0000000295.bmp,50,0,1,0,0,0,1,0,1
0000000296.bmp,50,0,2,0,0,0,1,0,1
0000000297.bmp,50,0,3,0,0,0,1,0,1
0000000298.bmp,50,0,4,0,0,0,1,0,1
0000000299.bmp,50,0,5,0,0,0,1,0,1
0000000300.bmp,50,0,6,0,0,0,1,0,1
0000000301.bmp,51,0,1,0,0,0,1,0,1
0000000302.bmp,51,0,2,0,0,0,1,0,1
0000000303.bmp,51,0,3,0,0,0,1,0,1
0000000304.bmp,51,0,4,0,0,0,1,0,1
0000000305.bmp,51,0,5,0,0,0,1,0,1
0000000306.bmp,51,0,6,0,0,0,1,0,1
0000000307.bmp,52,0,1,0,0,0,1,0,1
0000000308.bmp,52,0,2,0,0,0,1,0,1
0000000309.bmp,52,0,3,0,0,0,1,0,1
0000000310.bmp,52,0,4,0,0,0,1,0,1
0000000311.bmp,52,0,5,0,0,0,1,0,1
0000000312.bmp,52,0,6,0,0,0,1,0,1
0000000313.bmp,53,0,1,0,0,0,1,0,1
0000000314.bmp,53,0,2,0,0,0,1,0,1
0000000315.bmp,53,0,3,0,0,0,1,0,1
0000000316.bmp,53,0,4,0,0,0,1,0,1
0000000317.bmp,53,0,5,0,0,0,1,0,1
0000000318.bmp,53,0,6,0,0,0,1,0,1
0000000319.bmp,54,0,1,0,0,0,1,0,1
0000000320.bmp,54,0,2,0,0,0,1,0,1
0000000321.bmp,54,0,3,0,0,0,1,0,1
0000000322.bmp,54,0,4,0,0,0,1,0,1
0000000323.bmp,54,0,5,0,0,0,1,0,1
0000000324.bmp,54,0,6,0,0,0,1,0,1
0000000325.bmp,55,0,1,0,0,0,1,0,1
0000000326.bmp,55,0,2,0,0,0,1,0,1
0000000327.bmp,55,0,3,0,0,0,1,0,1
0000000328.bmp,55,0,4,0,0,0,1,0,1
0000000329.bmp,55,0,5,0,0,0,1,0,1
0000000330.bmp,55,0,6,0,0,0,1,0,1
0000000331.bmp,56,0,1,0,0,0,1,0,1
0000000332.bmp,56,0,2,0,0,0,1,0,1
0000000333.bmp,56,0,3,0,0,0,1,0,1
0000000334.bmp,56,0,4,0,0,0,1,0,1
0000000335.bmp,56,0,5,0,0,0,1,0,1
0000000336.bmp,56,0,6,0,0,0,1,0,1
0000000337.bmp,57,0,1,0,0,0,1,0,1
0000000338.bmp,57,0,2,0,0,0,1,0,1
0000000339.bmp,57,0,3,0,0,0,1,0,1
0000000340.bmp,57,0,4,0,0,0,1,0,1
0000000341.bmp,57,0,5,0,0,0,1,0,1
0000000342.bmp,57,0,6,0,0,0,1,0,1
0000000343.bmp,58,0,1,0,0,0,1,0,1
0000000344.bmp,58,0,2,0,0,0,1,0,1
0000000345.bmp,58,0,3,0,0,0,1,0,1
0000000346.bmp,58,0,4,0,0,0,1,0,1
0000000347.bmp,58,0,5,0,0,0,1,0,1
0000000348.bmp,58,0,6,0,0,0,1,0,1
0000000349.bmp,59,0,1,0,0,0,1,0,1
0000000350.bmp,59,0,2,0,0,0,1,0,1
0000000351.bmp,59,0,3,0,0,0,1,0,1
0000000352.bmp,59,0,4,0,0,0,1,0,1
0000000353.bmp,59,0,5,0,0,0,1,0,1
0000000354.bmp,59,0,6,0,0,0,1,0,1
0000000355.bmp,60,0,1,0,0,0,1,0,1
0000000356.bmp,60,0,2,0,0,0,1,0,1
0000000357.bmp,60,0,3,0,0,0,1,0,1
0000000358.bmp,60,0,4,0,0,0,1,0,1
0000000359.bmp,60,0,5,0,0,0,1,0,1
0000000360.bmp,60,0,6,0,0,0,1,0,1
0000000361.bmp,61,0,1,0,0,0,1,0,1
0000000362.bmp,61,0,2,0,0,0,1,0,1
0000000363.bmp,61,0,3,0,0,0,1,0,1
0000000364.bmp,61,0,4,0,0,0,1,0,1
0000000365.bmp,61,0,5,0,0,0,1,0,1
0000000366.bmp,61,0,6,0,0,0,1,0,1
0000000367.bmp,62,0,1,0,0,0,1,0,1
0000000368.bmp,62,0,2,0,0,0,1,0,1
0000000369.bmp,62,0,3,0,0,0,1,0,1
0000000370.bmp,62,0,4,0,0,0,1,0,1
0000000371.bmp,62,0,5,0,0,0,1,0,1
0000000372.bmp,62,0,6,0,0,0,1,0,1
0000000373.bmp,63,0,1,0,0,0,1,0,1
0000000374.bmp,63,0,2,0,0,0,1,0,1
0000000375.bmp,63,0,3,0,0,0,1,0,1
0000000376.bmp,63,0,4,0,0,0,1,0,1
0000000377.bmp,63,0,5,0,0,0,1,0,1
0000000378.bmp,63,0,6,0,0,0,1,0,1
0000000379.bmp,64,0,1,0,0,0,1,0,1
0000000380.bmp,64,0,2,0,0,0,1,0,1
0000000381.bmp,64,0,3,0,0,0,1,0,1
0000000382.bmp,64,0,4,0,0,0,1,0,1
0000000383.bmp,64,0,5,0,0,0,1,0,1
0000000384.bmp,64,0,6,0,0,0,1,0,1
0000000385.bmp,65,0,1,0,0,0,1,0,1
0000000386.bmp,65,0,2,0,0,0,1,0,1
0000000387.bmp,65,0,3,0,0,0,1,0,1
0000000388.bmp,65,0,4,0,0,0,1,0,1
0000000389.bmp,65,0,5,0,0,0,1,0,1
0000000390.bmp,65,0,6,0,0,0,1,0,1
0000000391.bmp,66,0,1,0,0,0,1,0,1
0000000392.bmp,66,0,2,0,0,0,1,0,1
0000000393.bmp,66,0,3,0,0,0,1,0,1
0000000394.bmp,66,0,4,0,0,0,1,0,1
0000000395.bmp,66,0,5,0,0,0,1,0,1
0000000396.bmp,66,0,6,0,0,0,1,0,1
0000000397.bmp,67,0,1,0,0,0,1,0,1
0000000398.bmp,67,0,2,0,0,0,1,0,1
0000000399.bmp,67,0,3,0,0,0,1,0,1
0000000400.bmp,67,0,4,0,0,0,1,0,1
0000000401.bmp,67,0,5,0,0,0,1,0,1
0000000402.bmp,67,0,6,0,0,0,1,0,1
0000000403.bmp,68,0,1,0,0,0,1,0,1
0000000404.bmp,68,0,2,0,0,0,1,0,1
0000000405.bmp,68,0,3,0,0,0,1,0,1
0000000406.bmp,68,0,4,0,0,0,1,0,1
0000000407.bmp,68,0,5,0,0,0,1,0,1
0000000408.bmp,68,0,6,0,0,0,1,0,1
0000000409.bmp,69,0,1,0,0,0,1,0,1
0000000410.bmp,69,0,2,0,0,0,1,0,1
0000000411.bmp,69,0,3,0,0,0,1,0,1
0000000412.bmp,69,0,4,0,0,0,1,0,1
0000000413.bmp,69,0,5,0,0,0,1,0,1
0000000414.bmp,69,0,6,0,0,0,1,0,1
0000000415.bmp,70,0,1,0,0,0,1,0,1
0000000416.bmp,70,0,2,0,0,0,1,0,1
0000000417.bmp,70,0,3,0,0,0,1,0,1
0000000418.bmp,70,0,4,0,0,0,1,0,1
0000000419.bmp,70,0,5,0,0,0,1,0,1
0000000420.bmp,70,0,6,0,0,0,1,0,1
0000000421.bmp,71,0,1,0,0,0,1,0,1
0000000422.bmp,71,0,2,0,0,0,1,0,1
0000000423.bmp,71,0,3,0,0,0,1,0,1
0000000424.bmp,71,0,4,0,0,0,1,0,1
0000000425.bmp,71,0,5,0,0,0,1,0,1
0000000426.bmp,71,0,6,0,0,0,1,0,1
0000000427.bmp,72,0,1,0,0,0,1,0,1
0000000428.bmp,72,0,2,0,0,0,1,0,1
0000000429.bmp,72,0,3,0,0,0,1,0,1
0000000430.bmp,72,0,4,0,0,0,1,0,1
0000000431.bmp,72,0,5,0,0,0,1,0,1
0000000432.bmp,72,0,6,0,0,0,1,0,1
0000000433.bmp,73,0,1,0,0,0,1,0,1
0000000434.bmp,73,0,2,0,0,0,1,0,1
0000000435.bmp,73,0,3,0,0,0,1,0,1
0000000436.bmp,73,0,4,0,0,0,1,0,1
0000000437.bmp,73,0,5,0,0,0,1,0,1
0000000438.bmp,73,0,6,0,0,0,1,0,1
0000000439.bmp,74,0,1,0,0,0,1,0,1
0000000440.bmp,74,0,2,0,0,0,1,0,1
0000000441.bmp,74,0,3,0,0,0,1,0,1
0000000442.bmp,74,0,4,0,0,0,1,0,1
0000000443.bmp,74,0,5,0,0,0,1,0,1
0000000444.bmp,74,0,6,0,0,0,1,0,1
0000000445.bmp,75,0,1,0,0,0,1,0,1
0000000446.bmp,75,0,2,0,0,0,1,0,1
0000000447.bmp,75,0,3,0,0,0,1,0,1
0000000448.bmp,75,0,4,0,0,0,1,0,1
0000000449.bmp,75,0,5,0,0,0,1,0,1
0000000450.bmp,75,0,6,0,0,0,1,0,1
0000000451.bmp,76,0,1,0,0,0,1,0,1
0000000452.bmp,76,0,2,0,0,0,1,0,1
0000000453.bmp,76,0,3,0,0,0,1,0,1
0000000454.bmp,76,0,4,0,0,0,1,0,1
0000000455.bmp,76,0,5,0,0,0,1,0,1
0000000456.bmp,76,0,6,0,0,0,1,0,1
0000000457.bmp,77,0,1,0,0,0,1,0,1
0000000458.bmp,77,0,2,0,0,0,1,0,1
0000000459.bmp,77,0,3,0,0,0,1,0,1
0000000460.bmp,77,0,4,0,0,0,1,0,1
0000000461.bmp,77,0,5,0,0,0,1,0,1
0000000462.bmp,77,0,6,0,0,0,1,0,1
0000000463.bmp,78,0,1,0,0,0,1,0,1
0000000464.bmp,78,0,2,0,0,0,1,0,1
0000000465.bmp,78,0,3,0,0,0,1,0,1
0000000466.bmp,78,0,4,0,0,0,1,0,1
0000000467.bmp,78,0,5,0,0,0,1,0,1
0000000468.bmp,78,0,6,0,0,0,1,0,1
0000000469.bmp,79,0,1,0,0,0,1,0,1
0000000470.bmp,79,0,2,0,0,0,1,0,1
0000000471.bmp,79,0,3,0,0,0,1,0,1
0000000472.bmp,79,0,4,0,0,0,1,0,1
0000000473.bmp,79,0,5,0,0,0,1,0,1
