file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv
0000000253.bmp,21,4,2,1,0,0,0,0
0000000254.bmp,27,3,2,1,0,0,0,0
0000000255.bmp,23,2,2,1,0,0,0,0
0000000256.bmp,17,1,2,1,0,0,0,0
0000000257.bmp,15,11,2,1,0,0,0,0
0000000258.bmp,25,10,2,1,0,0,0,0
0000000259.bmp,22,9,2,1,0,0,0,0
0000000260.bmp,13,8,2,1,0,0,0,0
0000000261.bmp,11,7,2,1,0,0,0,0
0000000262.bmp,29,6,2,1,0,0,0,0
0000000263.bmp,18,5,2,1,0,0,0,0
0000000264.bmp,19,12,2,1,0,0,0,0
0000000265.bmp,21,4,2,1,0,0,0,0
0000000266.bmp,27,3,2,1,0,0,0,0
0000000267.bmp,23,2,2,1,0,0,0,0
0000000268.bmp,17,1,2,1,0,0,0,0
0000000269.bmp,15,11,2,1,0,0,0,0
0000000270.bmp,25,10,2,1,0,0,0,0
0000000271.bmp,22,9,2,1,0,0,0,0
0000000272.bmp,13,8,2,1,0,0,0,0
0000000273.bmp,11,7,2,1,0,0,0,0
0000000274.bmp,29,6,2,1,0,0,0,0
0000000275.bmp,18,5,2,1,0,0,0,0
0000000276.bmp,19,12,2,1,0,0,0,0
0000000277.bmp,21,4,2,1,0,0,0,0
0000000278.bmp,27,3,2,1,0,0,0,0
0000000279.bmp,23,2,2,1,0,0,0,0
0000000280.bmp,17,1,2,1,0,0,0,0
0000000281.bmp,15,11,2,1,0,0,0,0
0000000282.bmp,25,10,2,1,0,0,0,0
0000000283.bmp,22,9,2,1,0,0,0,0
0000000284.bmp,13,8,2,1,0,0,0,0
0000000285.bmp,11,7,2,1,0,0,0,0
0000000286.bmp,29,6,2,1,0,0,0,0
0000000287.bmp,18,5,2,1,0,0,0,0
0000000288.bmp,19,12,2,1,0,0,0,0
0000000289.bmp,25,4,3,1,0,0,0,0
0000000290.bmp,27,3,3,1,0,0,0,0
0000000291.bmp,23,2,3,1,0,0,0,0
0000000292.bmp,18,1,3,1,0,0,0,0
0000000293.bmp,15,11,3,1,0,0,0,0
0000000294.bmp,19,10,3,1,0,0,0,0
0000000295.bmp,11,9,3,1,0,0,0,0
0000000296.bmp,13,8,3,1,0,0,0,0
0000000297.bmp,29,7,3,1,0,0,0,0
0000000298.bmp,21,6,3,1,0,0,0,0
0000000299.bmp,17,5,3,1,0,0,0,0
0000000300.bmp,22,12,3,1,0,0,0,0
0000000301.bmp,25,4,3,1,0,0,0,0
0000000302.bmp,27,3,3,1,0,0,0,0
0000000303.bmp,23,2,3,1,0,0,0,0
0000000304.bmp,18,1,3,1,0,0,0,0
0000000305.bmp,15,11,3,1,0,0,0,0
0000000306.bmp,19,10,3,1,0,0,0,0
0000000307.bmp,11,9,3,1,0,0,0,0
0000000308.bmp,13,8,3,1,0,0,0,0
0000000309.bmp,29,7,3,1,0,0,0,0
0000000310.bmp,21,6,3,1,0,0,0,0
0000000311.bmp,17,5,3,1,0,0,0,0
0000000312.bmp,22,12,3,1,0,0,0,0
0000000313.bmp,25,4,3,1,0,0,0,0
0000000314.bmp,27,3,3,1,0,0,0,0
